German,English
sie ,they
ist ,is
du ,you
nicht ,not
die ,the
es ,it
und ,and
der ,the
wir ,We
was ,What
zu ,to
er ,he
ein ,a
ja ,Yes
mir ,me
wie ,how
den ,the
dass ,that
aber ,but
eine ,a
so ,so
hat ,has
hier ,here
haben ,have
für ,for
war ,was
von ,by
wenn ,if
dich ,you
ihr ,Yours
habe ,have
an ,on
bin ,am
noch ,Yet
nur ,only
da ,Since
einen ,a
uns ,Us
hast ,have
dem ,the
kann ,can
gut ,Good
auch ,also
schon ,already
sein ,be
mal ,times
jetzt ,Now
ihn ,him
dann ,then
aus ,Off
meine ,My
um ,to
wird ,will be
mein ,My
bist ,You are
alles ,everything
weiß ,white
keine ,none
oder ,or
werden ,will be
will ,will
ihnen ,to them
wo ,where
etwas ,something
mehr ,more
bei ,at
also ,so
bitte ,please
immer ,always
hab ,hab
warum ,Why
vor ,before
los ,Go
wieder ,again
danke ,Thank you
sehr ,very
denn ,because
mann ,Man
ihm ,to him
zum ,to the
gehen ,Go
sehen ,see
einem ,a
wer ,who
diese ,these
euch ,you
einer ,a
über ,About
wissen ,Knowledge
müssen ,must be
soll ,should
nie ,never
hey ,hey
kein ,none
viel ,a lot
weg ,Gone
tut ,does
einfach ,Simple
leben ,Life
hatte ,had
zeit ,Time
dein ,Your
kommt ,comes
damit ,so that
ganz ,all
wollte ,wanted to
ok ,ok
sicher ,Safe
gesagt ,said
nun ,Well
bis ,to
na ,well
kannst ,You can
dieser ,This
zurück ,back
lassen ,let
meinen ,My
gott ,God
seine ,its
hätte ,would have
zwei ,two
könnte ,could
genau ,accurate
waren ,Goods
zur ,to the
lass ,let
klar ,clear
morgen ,tomorrow
leute ,People
schön ,Beautiful
glaube ,Faith
ab ,from
gerade ,straight
tag ,Day
gesehen ,seen
reden ,Speeches
liebe ,Love
sollte ,should
sagte ,said
unsere ,Our
jemand ,someone
durch ,by
keinen ,none
raus ,out
paar ,Couple
Deutsch ,German
